model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P15,24,2.625,3.0,1.0,3.2874999999999996,2.8333333333333335,0.041666666666666664,6.1291666666666655,6.325
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P16,24,3.875,4.0,1.0,2.9999999999999996,2.0,1.875,5.375,5.400000000000001
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P17,24,3.0,4.0,1.0,5.270312499999999,4.208333333333333,0.041666666666666664,9.486979166666666,11.239903846153847
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P18,24,2.125,3.0,1.0,3.0625,1.9166666666666667,0.25,5.029166666666666,5.3500000000000005
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P19,24,3.875,4.0,1.0,4.9312499999999995,4.916666666666667,0.041666666666666664,9.856250000000001,12.0
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P21,24,3.8333333333333335,4.0,1.0,3.3624999999999994,3.0416666666666665,0.7916666666666666,6.5625,9.2
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P22,24,2.75,3.0,1.0,13.393749999999995,5.958333333333333,0.0,19.35208333333333,19.499999999999996
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P24,24,3.75,4.0,1.0,6.958333333333333,3.625,0.2916666666666667,10.641666666666666,13.624999999999998
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P25,24,2.5,3.0,1.0,4.812499999999999,2.2916666666666665,0.3333333333333333,7.170833333333333,9.299999999999999
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P27,24,3.6666666666666665,4.0,1.0,5.3625,4.708333333333333,0.08333333333333333,10.087499999999999,12.358928571428569
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P28,24,2.6666666666666665,3.0,1.0,11.189583333333331,6.083333333333333,0.0,17.272916666666664,22.099999999999998
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P30,24,2.75,4.0,1.0,4.702083333333333,3.625,0.0,8.327083333333334,12.1125
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P03,24,1.9583333333333333,3.0,1.0,4.09375,3.0833333333333335,0.08333333333333333,7.193749999999999,9.270833333333332
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P08,24,3.7083333333333335,4.0,1.0,4.402083333333333,3.25,0.4583333333333333,7.743749999999999,9.206249999999999
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P10,24,2.4166666666666665,4.0,1.0,4.889583333333333,3.8333333333333335,0.0,8.722916666666665,11.149999999999999
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P12,24,2.8333333333333335,4.0,1.0,4.0249999999999995,2.5833333333333335,0.3333333333333333,6.675,8.7625
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P13,24,3.0,4.0,1.0,4.1916666666666655,2.0833333333333335,0.9166666666666666,6.458333333333332,8.399999999999999
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P14,24,4.0,4.0,1.0,4.4390624999999995,3.6666666666666665,0.375,8.180729166666666,9.695833333333335
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P20,24,4.0,4.0,1.0,5.156249999999999,3.9583333333333335,0.041666666666666664,9.122916666666667,9.199999999999996
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P23,24,3.5416666666666665,4.0,1.0,5.3270833333333325,3.0,0.5833333333333334,8.44375,10.77
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P26,24,3.9583333333333335,4.0,1.0,6.55,4.75,0.0,11.299999999999999,14.299999999999999
rect_uniform_6x7_none_mixed_balanced_standard_compact_eval,P29,24,2.8333333333333335,3.0,1.0,9.95625,6.75,0.0,16.70625,20.132500000000004
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P01,24,1.9583333333333333,3.0,1.0,3.1999999999999997,2.0,0.125,5.224999999999999,5.3999999999999995
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P02,24,2.8333333333333335,4.0,1.0,3.9625,2.7083333333333335,0.25,6.720833333333332,8.016666666666667
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P04,24,3.375,4.0,1.0,4.324999999999999,2.5833333333333335,0.7916666666666666,7.066666666666666,8.299999999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P05,24,3.4583333333333335,4.0,1.0,4.545833333333333,3.125,0.4583333333333333,7.762499999999999,10.299999999999999
